Device,Test Name,Test Status,Message(s),Test description,Test category
A-SPINE1,VerifyBGPPeersHealth,unset,,Verifies the health of BGP peers for given address families.,BGP
A-SPINE1,VerifyRunningConfigDiffs,unset,,Verifies there is no difference between the running-config and the startup-config.,Configuration
A-SPINE1,VerifyRunningConfigDiffs,unset,,Verifies there is no difference between the running-config and the startup-config.,Configuration
A-SPINE1,VerifyZeroTouch,unset,,Verifies ZeroTouch is disabled.,Configuration
A-SPINE1,VerifyZeroTouch,unset,,Verifies ZeroTouch is disabled.,Configuration
A-SPINE1,VerifyEnvironmentCooling,unset,,Verifies the status of power supply fans and all fan trays.,Hardware
A-SPINE1,VerifyEnvironmentPower,unset,,Verifies the power supplies state and input voltage.,Hardware
A-SPINE1,VerifyEnvironmentSystemCooling,unset,,Verifies the device's system cooling status.,Hardware
A-SPINE1,VerifyInventory,unset,,Verifies the physical hardware inventory of the device.,Hardware
A-SPINE1,VerifyTemperature,unset,,Verifies if the device temperature is within acceptable limits.,Hardware
A-SPINE1,VerifyTransceiversManufacturers,unset,,Verifies if all the transceivers come from approved manufacturers.,Hardware
A-SPINE1,VerifyTransceiversTemperature,unset,,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
A-SPINE1,VerifyInterfaceDiscards,unset,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
A-SPINE1,VerifyInterfaceDiscards,unset,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
A-SPINE1,VerifyInterfaceErrDisabled,unset,,Verifies there are no interfaces in the errdisabled state.,Interfaces
A-SPINE1,VerifyInterfaceErrDisabled,unset,,Verifies there are no interfaces in the errdisabled state.,Interfaces
A-SPINE1,VerifyInterfaceErrors,unset,,Verifies that the interfaces error counters are equal to zero.,Interfaces
A-SPINE1,VerifyInterfaceErrors,unset,,Verifies that the interfaces error counters are equal to zero.,Interfaces
A-SPINE1,VerifyInterfaceUtilization,unset,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
A-SPINE1,VerifyInterfacesStatus,unset,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
A-SPINE1,VerifyL3MTU,unset,,Verifies the L3 MTU of routed interfaces.,Interfaces
A-SPINE1,VerifyLoggingErrors,unset,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
A-SPINE1,VerifyRoutingProtocolModel,unset,,Verifies the configured routing protocol model.,Routing
A-SPINE1,VerifyRoutingProtocolModel,unset,,Verifies the configured routing protocol model.,Routing
A-SPINE1,VerifySTPCounters,unset,,Verifies there is no errors in STP BPDU packets.,STP
A-SPINE1,VerifyAgentLogs,unset,,Verifies there are no agent crash reports.,System
A-SPINE1,VerifyAgentLogs,unset,,Verifies there are no agent crash reports.,System
A-SPINE1,VerifyCPUUtilization,unset,,Verifies that the CPU utilization of the device is within the configured threshold.,System
A-SPINE1,VerifyCoredump,unset,,Verifies there are no core dump files.,System
A-SPINE1,VerifyCoredump,unset,,Verifies there are no core dump files.,System
A-SPINE1,VerifyFileSystemUtilization,unset,,Verifies that no partition is utilizing more than 75% of its disk space.,System
A-SPINE1,VerifyFileSystemUtilization,unset,,Verifies that no partition is utilizing more than 75% of its disk space.,System
A-SPINE1,VerifyMaintenance,unset,,Verifies that the device is not currently under or entering maintenance.,System
A-SPINE1,VerifyMemoryUtilization,unset,,Verifies whether the memory utilization is below 75%.,System
A-SPINE1,VerifyMemoryUtilization,unset,,Verifies whether the memory utilization is below 75%.,System
A-SPINE1,VerifyNTP,unset,,Verifies if NTP is synchronised.,System
A-SPINE1,VerifyNTP,unset,,Verifies if NTP is synchronised.,System
A-SPINE1,VerifyReloadCause,unset,,Verifies the last reload cause of the device.,System
A-SPINE1,VerifyReloadCause,unset,,Verifies the last reload cause of the device.,System
